"src","dest","direction"
"1956","6772","undirected"
"1956","6774","undirected"
"1956","6776","undirected"
"1956","6777","undirected"
"1956","7039","undirected"
"1956","7082","undirected"
"1956","7167","undirected"
"1956","7168","undirected"
"1956","7409","undirected"
"1956","7410","undirected"
"1956","10451","undirected"
"112398","112399","undirected"
"112398","3091","undirected"
"112398","5430","undirected"
"112399","3091","undirected"
"1958","2065","undirected"
"1958","4772","undirected"
"1958","5970","undirected"
"1958","6667","undirected"
"1958","7157","undirected"
"1977","1978","undirected"
"9470","7189","undirected"
"1978","5520","undirected"
"1994","5439","undirected"
"1994","8607","undirected"
"2005","6722","undirected"
"2023","9636","undirected"
"2023","5607","undirected"
"2026","3098","undirected"
"2026","6483","undirected"
"5167","3643","undirected"
"1969","2885","undirected"
"1969","5295","undirected"
"1969","5747","undirected"
"1969","5781","undirected"
"2056","2057","undirected"
"2057","2770","undirected"
"2057","2885","undirected"
"2057","8660","undirected"
"2057","3717","undirected"
"2057","4067","undirected"
"2057","5295","undirected"
"2057","5781","undirected"
"2057","5777","undirected"
"2057","8835","undirected"
"2057","9021","undirected"
"2057","6776","undirected"
"2057","6850","undirected"
"2057","7409","undirected"
"2064","2065","undirected"
"2064","2066","undirected"
"2064","2885","undirected"
"2064","3320","undirected"
"2064","7184","undirected"
"2064","3480","undirected"
"2064","3572","undirected"
"2064","3717","undirected"
"2064","3084","undirected"
"2064","9180","undirected"
"2064","5058","undirected"
"2064","5296","undirected"
"2064","2185","undirected"
"2064","5781","undirected"
"2064","6774","undirected"
"2065","2885","undirected"
"2065","3572","undirected"
"2065","3084","undirected"
"2065","9542","undirected"
"2065","5295","undirected"
"2065","5296","undirected"
"2065","6184","undirected"
"2066","2069","undirected"
"2066","2885","undirected"
"2066","83737","undirected"
"2066","4690","undirected"
"2066","3084","undirected"
"2066","9542","undirected"
"2066","5296","undirected"
"2066","5781","undirected"
"2066","6776","undirected"
"2066","10413","undirected"
"2100","3320","undirected"
"2100","5594","undirected"
"2100","5469","undirected"
"2100","10025","undirected"
"2100","9440","undirected"
"2100","9862","undirected"
"2100","2872","undirected"
"2100","8648","undirected"
"2100","10499","undirected"
"2100","9612","undirected"
"2100","4793","undirected"
"2100","9063","undirected"
"2100","6667","undirected"
"2100","6776","undirected"
"2100","10971","undirected"
"23474","5970","undirected"
"23474","7157","undirected"
"2113","2114","undirected"
"2113","3725","undirected"
"2113","9611","undirected"
"2113","51588","undirected"
"2114","2353","undirected"
"2114","3725","undirected"
"2114","9611","undirected"
"23265","23433","undirected"
"2131","2132","undirected"
"2132","11227","undirected"
"2149","2768","undirected"
"2149","10672","undirected"
"356","2335","undirected"
"356","2885","undirected"
"356","4067","undirected"
"356","5599","undirected"
"356","4316","undirected"
"356","4690","undirected"
"356","387","undirected"
"356","7132","undirected"
"23291","3454","undirected"
"23291","4792","undirected"
"23291","5618","undirected"
"23291","56475","undirected"
"2207","6850","undirected"
"2222","9051","undirected"
"2222","8607","undirected"
"2224","2260","undirected"
"2246","2260","undirected"
"2246","2263","undirected"
"2246","2261","undirected"
"2246","2264","undirected"
"2255","2263","undirected"
"2257","23542","undirected"
